,Players,Salaries
0,Kobe Bryant,"$25,000,000"
1,LeBron James,"$22,970,500"
2,Carmelo Anthony,"$22,875,000"
3,Dwight Howard,"$22,359,364"
4,Chris Bosh,"$22,192,730"
5,Chris Paul,"$21,468,695"
6,Kevin Durant,"$20,158,622"
7,Derrick Rose,"$20,093,064"
8,Dwyane Wade,"$20,000,000"
9,LaMarcus Aldridge,"$19,689,000"
10,DeAndre Jordan,"$19,689,000"
11,Brook Lopez,"$19,689,000"
12,Kevin Love,"$19,689,000"
13,Marc Gasol,"$19,688,000"
14,Blake Griffin,"$18,907,726"
15,Paul Millsap,"$18,671,659"
16,Paul George,"$17,120,106"
17,Russell Westbrook,"$16,744,218"
18,Kyrie Irving,"$16,407,501"
19,Greg Monroe,"$16,407,500"
20,Wesley Matthews,"$16,407,500"
21,Jimmy Butler,"$16,407,500"
22,Kawhi Leonard,"$16,407,500"
23,Enes Kanter,"$16,407,500"
24,Tobias Harris,"$16,000,000"
25,John Wall,"$15,851,950"
26,DeMarcus Cousins,"$15,851,950"
27,James Harden,"$15,756,438"
28,Roy Hibbert,"$15,592,217"
29,Eric Gordon,"$15,514,031"
30,Klay Thompson,"$15,501,000"
31,Gordon Hayward,"$15,409,570"
32,Chandler Parsons,"$15,361,500"
33,Goran Dragic,"$14,783,000"
34,Khris Middleton,"$14,700,000"
35,Draymond Green,"$14,260,870"
36,Tristan Thompson,"$14,260,870"
37,Danilo Gallinari,"$14,000,000"
38,Reggie Jackson,"$13,913,044"
39,Andrew Bogut,"$13,800,000"
40,DeMarre Carroll,"$13,600,000"
41,Eric Bledsoe,"$13,500,000"
42,Al Jefferson,"$13,500,000"
43,Brandon Knight,"$13,500,000"
44,Tony Parker,"$13,437,500"
45,Joakim Noah,"$13,400,000"
46,Nicolas Batum,"$13,125,306"
47,Nene Hilario,"$13,000,000"
48,Tyson Chandler,"$13,000,000"
49,Ricky Rubio,"$12,700,000"
50,Robin Lopez,"$12,650,000"
51,Rudy Gay,"$12,403,101"
52,Serge Ibaka,"$12,250,000"
53,Nikola Pekovic,"$12,100,000"
54,Kyle Lowry,"$12,000,000"
55,Al Horford,"$12,000,000"
56,Amir Johnson,"$12,000,000"
57,Derrick Favors,"$12,000,000"
58,Kemba Walker,"$12,000,000"
59,Andre Iguodala,"$11,710,456"
60,Stephen Curry,"$11,370,786"
61,Nikola Vucevic,"$11,250,000"
62,Kenneth Faried,"$11,235,955"
63,Thaddeus Young,"$11,235,955"
64,Marcin Gortat,"$11,217,391"
65,Tyreke Evans,"$10,734,586"
66,Jrue Holiday,"$10,595,507"
67,Brendan Haywood,"$10,522,500"
68,Wilson Chandler,"$10,449,438"
69,Monta Ellis,"$10,300,000"
70,Luol Deng,"$10,151,612"
71,Gerald Wallace,"$10,105,855"
72,DeMar DeRozan,"$10,050,000"
73,Danny Green,"$10,000,000"
74,Tiago Splitter,"$9,756,250"
75,Jeff Green,"$9,650,000"
76,Zach Randolph,"$9,638,555"
77,Mike Conley,"$9,588,426"
78,Rajon Rondo,"$9,500,000"
79,Alec Burks,"$9,463,484"
80,Omer Asik,"$9,213,483"
81,Lance Stephenson,"$9,000,000"
82,Iman Shumpert,"$8,988,765"
83,Taj Gibson,"$8,500,000"
84,Kevin Garnett,"$8,500,000"
85,Ryan Anderson,"$8,500,000"
86,Brandon Jennings,"$8,344,497"
87,Dirk Nowitzki,"$8,333,334"
88,Corey Brewer,"$8,229,375"
89,Trevor Ariza,"$8,193,030"
90,Channing Frye,"$8,193,029"
91,Al-Farouq Aminu,"$8,042,895"
92,Arron Afflalo,"$8,000,000"
93,Jeff Teague,"$8,000,000"
94,George Hill,"$8,000,000"
95,O.J. Mayo,"$8,000,000"
96,Markieff Morris,"$8,000,000"
97,Ersan Ilyasova,"$7,900,000"
98,Avery Bradley,"$7,730,337"
99,Kosta Koufos,"$7,700,000"
100,Boris Diaw,"$7,500,000"
101,Pau Gasol,"$7,448,760"
102,Jose Calderon,"$7,402,812"
103,JJ Redick,"$7,085,000"
104,Anthony Davis,"$7,070,730"
105,Marvin Williams,"$7,000,000"
106,Cory Joseph,"$7,000,000"
107,Lou Williams,"$7,000,000"
108,Rodney Stuckey,"$7,000,000"
109,Ed Davis,"$6,980,802"
110,Isaiah Thomas,"$6,912,869"
111,Jae Crowder,"$6,796,117"
112,Greivis Vasquez,"$6,600,000"
113,Aron Baynes,"$6,500,000"
114,Carl Landry,"$6,500,000"
115,Patrick Beverley,"$6,486,486"
116,Michael Kidd-Gilchrist,"$6,331,404"
